classe,page,de,en
Klasse 7 G-Kurs,162,Schottland,Scotland
Klasse 7 G-Kurs,162,Burg,castle
Klasse 7 G-Kurs,162,(Binnen-)See,lake
Klasse 7 G-Kurs,162,werfen,"throw, threw, thrown"
Klasse 7 G-Kurs,162,grau,grey
Klasse 7 G-Kurs,162,Himmel,sky
Klasse 7 G-Kurs,162,modern,modern
Klasse 7 G-Kurs,162,Gebäude,building
Klasse 7 G-Kurs,162,Hauptstadt,capital
Klasse 7 G-Kurs,162,welcher See?,which lake?
Klasse 7 G-Kurs,162,seine eigene Fahne,its own flag
Klasse 7 G-Kurs,162,Parlament,parliament
Klasse 7 G-Kurs,162,Sprache,language
Klasse 7 G-Kurs,162,"Musik-, musikalisch",musical
Klasse 7 G-Kurs,162,"Veränderung, Wechsel",change
Klasse 7 G-Kurs,162,(ein)kaufen,shop
Klasse 7 G-Kurs,162,zum letzten Mal,for the last time
Klasse 7 G-Kurs,162,"Ausrüstung, Ausstattung",equipment (no pl)
Klasse 7 G-Kurs,162,arbeitslos,unemployed
Klasse 7 G-Kurs,162,Monat,month
Klasse 7 G-Kurs,162,"Mahlzeit, Essen",meal
Klasse 7 G-Kurs,162,jm. die Schuld geben (an); jm. Vorwürfe machen (wegen),blame sb. (for)
Klasse 7 G-Kurs,162,Mach dir keine Vorwürfe.,Don’t blame yourself.
Klasse 7 G-Kurs,162,,ChatGPT fragen
