classe,page,de,en
7,154,Recht haben,be right
7,154,Unrecht haben,be wrong
7,154,Klingelton (Handy),ringtone
7,154,eine Tasse Tee,a cup of tea
7,154,sicher (gefahrlos); in Sicherheit,safe
7,154,etwas tun müssen,have to do sth.
7,154,etwas nicht tun müssen / brauchen,not have to do sth.
7,154,Unterführung,subway
7,154,Taschendieb/in,pickpocket
7,154,Rolltreppe,escalator
7,154,jn. abholen,pick sb. up
7,154,dunkel,dark
7,154,"sich Sorgen machen (wegen, um)",worry (about)
7,154,auf dem Land,in the country
7,154,(Straßen-)Kreuzung,"crossroads, pl"
7,154,Kirche,church
7,154,"Mehrfamilienhaus, Wohnblock",block of flats
7,154,Hauptstraße; Einkaufsstraße,high street
