classe,page,de,en
7,156,retten,save
7,156,mutig,brave
7,156,"ruhig, still; besonnen",calm
7,156,tief,deep
7,156,schwer (Gewicht; Regen),heavy
7,156,hart arbeiten,work hard
7,156,Vater,father
7,156,"sprechen: er sprach, er hat gesprochen",speak: he spoke
7,156,Tochter,daughter
7,156,haben: wir haben gehabt,have: we’ve had
7,156,Unfall,accident
7,156,Polizeibeamter/-beamtin,police officer
7,156,sich gefährlich verhalten,behave dangerously
7,156,"Bauer, Bäuerin; Landwirt/in",farmer
7,156,beschreiben,describe
7,156,"Nachricht, Mitteilung",message
7,156,etwas ausrichten,take a message
7,156,Sind da die Taylors? (am Telefon),Is that the Taylors?
7,156,Wer spricht (da)? (am Telefon),Who’s speaking?
7,156,Hier spricht Rob Blake. (am Telefon),This is Rob Blake.
7,156,"gerade jetzt, genau jetzt",right now
7,156,(quer) über die Felder,across the fields
