classe,page,de,en
7,155,Tor,gate
7,155,Wald; Holz,wood
7,155,Kneipe,pub
7,155,Du machst wohl Witze! / Spitzenwitz!,You’re joking!
7,155,"Witze machen, scherzen",joke
7,155,Komm(t) (schon)! / Ach komm!,Come on!
7,155,kaufen: wir haben gekauft,buy: we’ve bought
7,155,Überwachungssystem; Überwachungskamera(s),CCTV
7,155,"Geschäft, Betrieb",business
7,155,"ein Geschäft aufmachen, einen Betrieb gründen/eröffnen",start a business
7,155,anfangen: er hat angefangen,start: he has started
7,155,"Transporter, Lieferwagen",van
7,155,finden: sie hat gefunden,find: she has found
7,155,treffen: sie hat getroffen,meet: she has met
7,155,Es nervt! / Es ist Mist!,It sucks! (infml)
7,155,glauben,believe
7,155,sehen: ich habe gesehen,see: I’ve seen
7,155,sprechen: ich habe gesprochen,speak: I’ve spoken
7,155,noch nicht,not … yet
7,155,So ein Mist! / Es nervt!,What a pain! (infml)
7,155,"schließen, zumachen",close
7,155,Reg dich nicht auf. / Bleib mal locker.,Take it easy! (infml)
7,155,nan,ChatGPT fragen
