classe,page,de,en
8,160,Wir haben uns verlaufen/verirrt.,We’re lost.
8,160,Film,movie (AE)
8,160,Büffel; Bison,"buffalo, pl buffalo or buffaloes"
8,160,Flügel,wing
8,160,Stück,piece (of …)
8,160,vegetarisch; Vegetarier/in,veggie (= vegetarian)
8,160,gekocht; gegart,cooked
8,160,Butter,butter
8,160,Öl,oil
8,160,süß,sweet
8,160,"Nachtisch, Dessert",dessert
8,160,Kirsche,cherry
8,160,Obsttörtchen; Pastete,pie
8,160,(gekochter) Schinken,ham
8,160,"professionell, Profi(-)",professional
8,160,jm. etwas erklären,explain sth. to sb.
8,160,etwas lieber tun,prefer to do sth.
8,160,"ich wüsste nicht, wen ich aussuchen sollte",I wouldn’t know who to pick
8,160,"jn. bitten, etwas zu tun",ask sb. to do sth.
