classe,page,de,en
8,157,Karneval,carnival
8,157,Alligator,alligator
8,157,"Einwanderer, Einwanderin",immigrant
8,157,amerikanisch; Amerikaner/in,American
8,157,Stern,star
8,157,(Bundes-)Staat,state
8,157,amerikanischer Ureinwohner; amerikanische Ureinwohnerin; indianisch,Native American
8,157,europäisch; Europäer/in,European
8,157,Schüler/innen im Alter von 14 Jahren,students aged 14
8,157,Alter,age
8,157,Symbol (für),symbol (of)
8,157,Statue,statue
8,157,Freiheit,liberty
8,157,Insel,island
8,157,etwas wissen über; schon mal gehört haben von,know about
8,157,Sehenswürdigkeit,sight
8,157,international,international
8,157,"klasse, stark, großartig","awesome (AE, infml)"
8,157,Terrorist/in; terroristisch; Terror-,terrorist
8,157,"Angriff, Attacke",attack
8,157,zerstören,destroy
8,157,seit 2012,since 2012
8,157,nan,ChatGPT fragen
