classe,page,de,en
8,172,Sklaverei,slavery
8,172,(be)enden,end
8,172,Diskriminierung (von jmd.),discrimination (against sb.)
8,172,öffentlich,public
8,172,"vorn, im vorderen Teil",at the front
8,172,(Sitz-)Platz,seat
8,172,einsteigen (in den Bus),get on (the bus)
8,172,aussteigen (aus dem Bus),get off (the bus)
8,172,ziehen,pull
8,172,geben: sie hat gegeben,give: she has given
8,172,Prediger/in,preacher
8,172,vorher; zuvor; schon einmal,before
8,172,vergessen: ich habe vergessen,forget: I have forgotten
8,172,fallen: sie ist gefallen,fall: she has fallen
