"Franzoesisch","Deutsch"
"en ville (loc)","in der Stadt"
"la plage (f)","der Strand"
"Palavas-les-Flots (m)","Palavas-les-Flots"
"le velo (m)","das Fahrrad"
"le volley-ball (m)","Volleyball"
"faire du/de la/de l' (loc)","spielen"
"fair trade (m)","fairer Handel"
"la mer (f)","das Meer"
"le rayon (m)","die Abteilung"
"le rayon biosource","der Bio-Bereich"
"le Pic Saint-Loup (m)","der Pic Saint-Loup"
"la montagne (f)","der Berg"
"la planche a voile (f)","das Windsurfen"
"l'escalade (f)","das Klettern"
"le Polygone (m)","Einkaufszentrum in Montpellier"
"la Fnac (f)","die Fnac"
"aimer bien qn/qc (v)","jdn/etw. gern moegen"
"le centre commercial (m)","das Einkaufszentrum"
"la piscine (f)","das Schwimmbad"
"la natation (f)","das Schwimmen"
"Saint-Guilhem-le-Desert (m)","Saint-Guilhem-le-Desert"
