"Franzoesisch","Deutsch"
"j'ai mal au ventre","ich habe Bauchschmerzen"
"les yeux (m, pl)","die Augen"
"le nez (m)","die Nase"
"la dent (f)","der Zahn"
"la bouche (f)","der Mund"
"la gorge (f)","der Hals"
"la main (f)","die Hand"
"le ventre (m)","der Bauch"
"le genou (m)","das Knie"
"les orteils (m, pl)","die Zehen"
"se soigner (v)","sich pflegen"
"le bain (m)","das Bad"
"la tisane (f)","der Kraeutertee"
"tu vas t'allonger un peu","du wirst dich ein bisschen hinlegen"
"ouvrir la fenetre (v)","das Fenster oeffnen"
"j'appelle","ich rufe an"
"le medecin (m)","der Arzt"
"le cauchemar (m)","der Albtraum"
"passer qc (v)","verbringen"
"le pansement (m)","das Pflaster"
"Ca va mieux. (loc)","Es geht besser."
"la gare (f)","der Bahnhof"
"l'aller simple (m)","die einfache Fahrt"
"le train (m)","der Zug"
"le TGV (m)","der TGV"
