classe,page,de,en
Klasse 6 G-Kurs,171,Cricket (Mannschaftssportart),cricket
Klasse 6 G-Kurs,171,Waveboarden,street surfing
Klasse 6 G-Kurs,171,Arm,arm
Klasse 6 G-Kurs,171,"hinauf, hoch",up
Klasse 6 G-Kurs,171,Hand,hand
Klasse 6 G-Kurs,171,stehen,"stand, simple past: stood"
Klasse 6 G-Kurs,171,"Hunger haben, hungrig sein",be hungry
Klasse 6 G-Kurs,171,du könntest,you could
Klasse 6 G-Kurs,171,du könntest nicht,you couldn’t
Klasse 6 G-Kurs,171,einen Salat nehmen/essen,have a salad
Klasse 6 G-Kurs,171,Pastete (mit Fleisch- oder Gemüsfüllung),pasty
Klasse 6 G-Kurs,171,Fleisch,meat
Klasse 6 G-Kurs,171,lecker!,yum!
Klasse 6 G-Kurs,171,Joghurt,yogurt
Klasse 6 G-Kurs,171,"Möhre, Karotte",carrot
Klasse 6 G-Kurs,171,gesund,healthy
Klasse 6 G-Kurs,171,Deutsche/r,German
Klasse 6 G-Kurs,171,Junkfood (ungesundes Essen),junk food
Klasse 6 G-Kurs,171,viel,much
Klasse 6 G-Kurs,171,(Kartoffel-)Chips,crisps (pl)
Klasse 6 G-Kurs,171,Schokolade; Praline,chocolate
Klasse 6 G-Kurs,171,ungesund,unhealthy
Klasse 6 G-Kurs,171,Kuchen,cake
Klasse 6 G-Kurs,171,Limonade,lemonade
Klasse 6 G-Kurs,171,Wie viele …?,How many …?
Klasse 6 G-Kurs,171,,ChatGPT fragen
