"Franzoesisch","Deutsch"
"la salle (f)","der Raum"
"servir en salle (v)","im Speisesaal servieren"
"c'est pourquoi (conj)","deshalb"
"la lettre (f)","der Brief"
"la lettre de motivation (f)","das Bewerbungsschreiben"
"le materiel (m)","das Material"
"le demenagement (m)","der Umzug"
"le rapport (m) de stage","der Praktikumsbericht"
"je viens de faire qc (v)","ich habe gerade etw. getan"
"le demenageur (m)","der Umzugshelfer"
"le guichet (m)","der Schalter"
"le printemps (m)","der Fruehling"
"le reveil (m)","der Wecker"
"le tonnerre (m)","der Donner"
"l'eclair (m)","der Blitz"
"le gouter (m)","die Zwischenmahlzeit"
"de plus (adv)","ausserdem"
"l'heureux/l'heureuse (adj)","gluecklich"
"le brevet (m) de sauveteur","die Rettungsschwimmerpruefung"
"l'experience (f)","die Erfahrung"
"j'espere pouvoir faire qc (v)","ich hoffe, etw. tun zu koennen"
"remercier qn (v)","jdm. danken"
"l'information (f)","die Information"
"la diffusion (f)","die Ausstrahlung"
