"Franzoesisch","Deutsch"
"photographier qn/qc (v)","jdn/etw. fotografieren"
"une photo (f)","das Foto"
"creer qc (v)","etw. erzeugen"
"profiter de qc (v)","etw. ausnutzen"
"un touriste (m)","der Tourist"
"le boudin (m)","der Blutwurst"
"prendre le the (loc)","Tee trinken"
"le Canadien/la Canadienne (m/f)","der/die Kanadier/in"
"applaudir (v)","applaudieren"
"s'entendre bien avec qn (v)","sich gut mit jdm. verstehen"
"ca vaut la peine de faire qc (v)","es ist die Muehe wert, etw. zu tun"
"vivre (v)","leben"
"le Canada (m)","Kanada"
"la langue (f)","die Sprache"
"le port (m)","der Hafen"
"le peintre (m)","der Maler"
"populaire (adj)","beliebt"
"la femme (f) politique","die Politikerin"
"bilingue (adj)","zweisprachig"
