"Franzoesisch","Deutsch"
"romantique (adj)","romantisch"
"t'annoncer qc (v)","dir etw. ankuendigen"
"une annonce (f)","die Ankuendigung"
"annoncer qn/qc (v)","jdn/etw. ankuendigen"
"le casier (m)","das Schliessfach"
"chouette (adj)","schick"
"le magasin (m)","das Geschaeft"
"la glace (f)","das Speiseeis"
"l'adulte (m/f)","der/die Erwachsene/r"
"le bonhomme de neige (m)","der Schneemann"
"moins de (quant)","weniger als"
"interessant (adj)","interessant"
"le bronzage (m)","die Braeune"
"le bureau (m)","das Buero"
"le haut-rhinois (m)","der Hochrheiner"
"la promenade (f)","der Spaziergang"
"le bateau-mouche (m)","das Bateau-Mouche"
"le musee du Louvre (m)","das Louvre Museum"
"le Pont des Arts (m)","die Pont des Arts"
"le Centre Pompidou (m)","das Centre Pompidou"
"la Bastille (f)","die Bastille"
"le Saint-Louis (m)","Saint-Louis"
"le boulevard Raspail (m)","der Raspail-Boulevard"
"la Cite des sciences et de l'industrie (f)","das Wissenschafts- und Industriecentrum"
"le Parisien (m) / la Parisienne (f)","der Pariser/die Pariserin"
"le tourisme (m)","der Tourismus"
"le touriste (m)","der Tourist"
