classe,page,de,en
9,161,Nagel,nail
9,161,Stimme,voice
9,161,"an etwas/jm. vorbeigehen, vorbeifahren",pass sth./sb.
9,161,"stoßen, schubsen; drücken; drängen",push
9,161,"Schusswaffe, Pistole",gun
9,161,"erschießen, schießen (auf)","shoot, shot, shot"
9,161,Verbrecher/in; kriminell,criminal
9,161,küssen,kiss
9,161,"kontrollieren, beherrschen",control
9,161,(sich) umdrehen; (Auto) sich überschlagen,turn over
9,161,Panik bekommen,panic
9,161,"rasen, schnell fahren",race
9,161,du darfst fahren,you may drive
9,161,"Fahrprüfung, Führerscheinprüfung",driving test
9,161,eine Prüfung bestehen,pass a test
9,161,Übersetzung,translation
9,161,(sich) verbessern,improve
9,161,"Referat, Präsentation",presentation
9,161,beeindrucken,impress
9,161,Checkliste,checklist
9,161,vorbereiten; sich vorbereiten (auf),prepare (for)
9,161,"kopieren, abschreiben",copy
9,161,Notizen,notes
9,161,unbekannt,unknown
9,161,"Outdoor-, Natursport-",outdoor
