classe,page,de,en
9,159,Hallo. / Servus.,Hello.
9,159,"Freut mich, dich/euch/Sie kennenzulernen.",Nice to meet you.
9,159,"nett, schön",nice
9,159,kennenlernen; (sich) treffen,(to) meet
9,159,du; dich; dir; ihr; euch; Sie; Ihnen,you
9,159,ich bin,I’m (= I am)
9,159,hungrig,hungry
9,159,vorsichtig,careful
9,159,eine Möwe,a seagull
9,159,es ist (bei Sachen und Tieren auch: er ist; sie ist),it’s (= it is)
9,159,"der, die, das",the
9,159,Wie heißt du? (wörtlich: Was ist dein Name?),What’s your name?
9,159,das Jahr; der Jahrgang,year
9,159,alt,old
9,159,Wie alt bist du?,How old are you?
9,159,Wo kommst du her?,Where are you from?
9,159,mögen,(to) like
9,159,der Fußball,football
9,159,du bist; ihr seid; Sie sind,you’re (= you are)
9,159,danke (schön),"thank you, thanks"
9,159,die Farbe,colour
9,159,und,and
9,159,richtig,right
9,159,False,wrong
9,159,Und du? / Was ist mit dir?,What about you?
9,159,die Klasse; der Unterricht; der Kurs,class
9,159,auch,too
9,159,Tschüs.,Bye.
9,159,Auf Wiedersehen. / Servus.,Goodbye.
9,159,der Urlaub; die Ferien,holiday(s)
9,159,auf dem Bild,in the picture
9,159,"die Mama, die Mutti",mum
9,159,"der Papa, der Vati",dad
9,159,Leos Mama/Mutti,Leo’s mum
9,159,das Tier,animal
9,159,das Getränk,drink
9,159,"das Ding, die Sache",thing
9,159,essen; fressen,(to) eat
9,159,Dinge zum Essen,things to eat
9,159,"andere(r, s)",other
9,159,hier; hierher,here
9,159,ich kann … sehen,I can see…
9,159,ich kann … nicht sehen,I can’t (= cannot) see …
9,159,sich erinnern an; daran denken; nicht vergessen,(to) remember
9,159,der Hund,dog
9,159,Wie geht’s? / Wie geht es dir/euch/Ihnen?,How are you?
9,159,Mir/Leo geht es gut.,I’m fine. / Leo is fine.
9,159,ich bin nicht …; ich bin kein/e …,I’m not …
9,159,so gut,so good
9,159,über mich/dich/...,about me/you/...
9,159,mein/e,my
9,159,das Lieblingstier,favourite animal
9,159,es ist … / es gibt …,there’s (= there is)
9,159,es sind … / es gibt …,there are
9,159,die Katze,cat
9,159,ein Elefant,an elephant
9,159,das Pferd,horse
9,159,der Löwe,lion
9,159,der Affe,monkey
9,159,der Papagei,parrot
9,159,die Schlange,snake
9,159,"der Fisch, die Fische","fish, pl fish"
9,159,das Hobby,hobby
9,159,der Sport; die Sportart,sport
9,159,(sich etwas) anhören; zuhören,(to) listen (to)
9,159,die Musik,music
9,159,zeichnen,(to) draw
9,159,tanzen,(to) dance
9,159,schwimmen,(to) swim
9,159,das Foto,photo
9,159,Fotos machen,(to) take photos
9,159,"lieben, sehr mögen",(to) love
9,159,Ich mag Fußball nicht. / Ich mag keinen Fußball.,I don’t like football.
9,159,die Gitarre,guitar
9,159,das Fahrrad,bike
9,159,"die (Schirm-)Mütze, die Kappe",cap
9,159,die Kette,chain
9,159,das Buch,book
9,159,"das Handy, das Telefon",phone
9,159,der (Tret-)Roller,scooter
9,159,klein,small
9,159,neu,new
9,159,groß,big
