classe,page,de,en
9,173,realistisch,realistic
9,173,essen: ich habe gegessen,eat: I’ve eaten
9,173,"stattfinden, gezeigt werden (Kino, Theater)",be on
9,173,halten,"hold, held, held"
9,173,"hart, zäh, robust",tough
9,173,jn. in Ruhe lassen,leave sb. alone
9,173,sich heranschleichen (an jn.),"creep up (on sb.), crept, crept"
9,173,sich umdrehen,turn around
9,173,Metall,metal
9,173,fallen; fallen lassen,drop
9,173,bis,till
9,173,… ist gefährlich. / … ist (gar) nicht gut.,… is bad news.
9,173,Zwillinge,twins (pl)
9,173,(jn. an-)grinsen,grin (at sb.)
9,173,Erzähler/in,narrator
9,173,Dach,roof
9,173,(die) Leiter,ladder
9,173,"Etage, Stockwerk",floor
9,173,,ChatGPT fragen
